"estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno"
"Mato Grosso","Luiz Inácio Lula da Silva ","PT","PT PSB PCdoB",76700,0.113439157721205,"Presidente",1989,"Turno 1"
"Goiás","Luiz Inácio Lula da Silva ","PT","PT PSB PCdoB",298261,0.441127465724699,"Presidente",1989,"Turno 1"
"Distrito Federal","Luiz Inácio Lula da Silva ","PT","PT PSB PCdoB",220720,0.326444470563552,"Presidente",1989,"Turno 1"
"Rondônia","Leonel Brizola ","PDT","PDT",39650,0.0586422764490976,"Presidente",1989,"Turno 1"
"Acre","Leonel Brizola ","PDT","PDT",8582,0.012692762080357,"Presidente",1989,"Turno 1"
"Amazonas","Leonel Brizola ","PDT","PDT",26129,0.0386447425306046,"Presidente",1989,"Turno 1"
"Roraima","Leonel Brizola ","PDT","PDT",5092,0.00753105855432043,"Presidente",1989,"Turno 1"
"Pará","Leonel Brizola ","PDT","PDT",52361,0.0774418218701438,"Presidente",1989,"Turno 1"
"Amapá","Leonel Brizola ","PDT","PDT",4935,0.00729885584555603,"Presidente",1989,"Turno 1"
"Tocantins","Leonel Brizola ","PDT","PDT",11605,0.0171637734726804,"Presidente",1989,"Turno 1"
"Maranhão","Leonel Brizola ","PDT","PDT",116539,0.172360964819707,"Presidente",1989,"Turno 1"
"Piauí","Leonel Brizola ","PDT","PDT",93507,0.138296679544156,"Presidente",1989,"Turno 1"
"Ceará","Leonel Brizola ","PDT","PDT",505440,0.747544822406857,"Presidente",1989,"Turno 1"
"R. G. do Norte","Leonel Brizola ","PDT","PDT",78259,0.115744915829254,"Presidente",1989,"Turno 1"
"Paraíba","Leonel Brizola ","PDT","PDT",186076,0.275206058828305,"Presidente",1989,"Turno 1"
"Pernambuco","Leonel Brizola ","PDT","PDT",265548,0.392744999407439,"Presidente",1989,"Turno 1"
"Alagoas","Leonel Brizola ","PDT","PDT",63071,0.0932818920030526,"Presidente",1989,"Turno 1"
"Sergipe","Leonel Brizola ","PDT","PDT",55751,0.0824556255816807,"Presidente",1989,"Turno 1"
"Bahia","Leonel Brizola ","PDT","PDT",229186,0.338965668859089,"Presidente",1989,"Turno 1"
"Minas Gerais","Leonel Brizola ","PDT","PDT",418935,0.619604087873965,"Presidente",1989,"Turno 1"
"Espírito Santo","Leonel Brizola ","PDT","PDT",105093,0.155432352052081,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Leonel Brizola ","PDT","PDT",3855561,5.70236756691953,"Presidente",1989,"Turno 1"
