estado,candidato,votos,cargo,ano,turno
Rondônia,Fernando Collor PRN (PST-PSL),165607,Presidente,1989,Turno 1
Acre,Fernando Collor PRN (PST-PSL),49862,Presidente,1989,Turno 1
Amazonas,Fernando Collor PRN (PST-PSL),300848,Presidente,1989,Turno 1
Roraima,Fernando Collor PRN (PST-PSL),32130,Presidente,1989,Turno 1
Pará,Fernando Collor PRN (PST-PSL),793384,Presidente,1989,Turno 1
Amapá,Fernando Collor PRN (PST-PSL),42255,Presidente,1989,Turno 1
Tocantins,Fernando Collor PRN (PST-PSL),164964,Presidente,1989,Turno 1
Maranhão,Fernando Collor PRN (PST-PSL),609758,Presidente,1989,Turno 1
Piauí,Fernando Collor PRN (PST-PSL),383632,Presidente,1989,Turno 1
Ceará,Fernando Collor PRN (PST-PSL),861030,Presidente,1989,Turno 1
R. G. do Norte,Fernando Collor PRN (PST-PSL),326878,Presidente,1989,Turno 1
Paraíba,Fernando Collor PRN (PST-PSL),457129,Presidente,1989,Turno 1
Pernambuco,Fernando Collor PRN (PST-PSL),1066986,Presidente,1989,Turno 1
Alagoas,Fernando Collor PRN (PST-PSL),554612,Presidente,1989,Turno 1
Sergipe,Fernando Collor PRN (PST-PSL),301730,Presidente,1989,Turno 1
Bahia,Fernando Collor PRN (PST-PSL),1408614,Presidente,1989,Turno 1
Minas Gerais,Fernando Collor PRN (PST-PSL),2801422,Presidente,1989,Turno 1
Espírito Santo,Fernando Collor PRN (PST-PSL),468910,Presidente,1989,Turno 1
Rio de Janeiro,Fernando Collor PRN (PST-PSL),1189385,Presidente,1989,Turno 1
São Paulo,Fernando Collor PRN (PST-PSL),4085223,Presidente,1989,Turno 1
Paraná,Fernando Collor PRN (PST-PSL),1738216,Presidente,1989,Turno 1
Santa Catarina,Fernando Collor PRN (PST-PSL),566990,Presidente,1989,Turno 1
R. G. do Sul,Fernando Collor PRN (PST-PSL),480842,Presidente,1989,Turno 1
M. G. do Sul,Fernando Collor PRN (PST-PSL),436539,Presidente,1989,Turno 1
Mato Grosso,Fernando Collor PRN (PST-PSL),344973,Presidente,1989,Turno 1
Goiás,Fernando Collor PRN (PST-PSL),803199,Presidente,1989,Turno 1
Distrito Federal,Fernando Collor PRN (PST-PSL),172818,Presidente,1989,Turno 1
Rondônia,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),75532,Presidente,1989,Turno 1
Acre,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),22954,Presidente,1989,Turno 1
Amazonas,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),125406,Presidente,1989,Turno 1
Roraima,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),5417,Presidente,1989,Turno 1
Pará,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),294981,Presidente,1989,Turno 1
Amapá,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),21026,Presidente,1989,Turno 1
Tocantins,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),27888,Presidente,1989,Turno 1
Maranhão,Luiz Inácio Lula da Silva PT ( PSB-PCdoB),255586,Presidente,1989,Turno 1
