estado,situacao,votos,eleicao,ano,turno
Amapá,VOTOS EM BRANCO,1072, Nulos e brancos 1989 Turno 1,1989, 1
Tocantins,VOTOS EM BRANCO,7609, Nulos e brancos 1989 Turno 1,1989, 1
Maranhão,VOTOS EM BRANCO,50278, Nulos e brancos 1989 Turno 1,1989, 1
Piauí,VOTOS EM BRANCO,31713, Nulos e brancos 1989 Turno 1,1989, 1
Ceará,VOTOS EM BRANCO,55448, Nulos e brancos 1989 Turno 1,1989, 1
R. G. do Norte,VOTOS EM BRANCO,27453, Nulos e brancos 1989 Turno 1,1989, 1
Paraíba,VOTOS EM BRANCO,41684, Nulos e brancos 1989 Turno 1,1989, 1
Pernambuco,VOTOS EM BRANCO,97269, Nulos e brancos 1989 Turno 1,1989, 1
Alagoas,VOTOS EM BRANCO,27486, Nulos e brancos 1989 Turno 1,1989, 1
Sergipe,VOTOS EM BRANCO,17953, Nulos e brancos 1989 Turno 1,1989, 1
Bahia,VOTOS EM BRANCO,162443, Nulos e brancos 1989 Turno 1,1989, 1
Minas Gerais,VOTOS EM BRANCO,176072, Nulos e brancos 1989 Turno 1,1989, 1
Espírito Santo,VOTOS EM BRANCO,20373, Nulos e brancos 1989 Turno 1,1989, 1
Rio de Janeiro,VOTOS EM BRANCO,53242, Nulos e brancos 1989 Turno 1,1989, 1
São Paulo,VOTOS EM BRANCO,156621, Nulos e brancos 1989 Turno 1,1989, 1
Paraná,VOTOS EM BRANCO,53297, Nulos e brancos 1989 Turno 1,1989, 1
Santa Catarina,VOTOS EM BRANCO,26354, Nulos e brancos 1989 Turno 1,1989, 1
R. G. do Sul,VOTOS EM BRANCO,57522, Nulos e brancos 1989 Turno 1,1989, 1
M. G. do Sul,VOTOS EM BRANCO,13218, Nulos e brancos 1989 Turno 1,1989, 1
Mato Grosso,VOTOS EM BRANCO,14819, Nulos e brancos 1989 Turno 1,1989, 1
Goiás,VOTOS EM BRANCO,31148, Nulos e brancos 1989 Turno 1,1989, 1
Distrito Federal,VOTOS EM BRANCO,4580, Nulos e brancos 1989 Turno 1,1989, 1
Rondônia,VOTOS NULOS,24080, Nulos e brancos 1989 Turno 1,1989, 1
Acre,VOTOS NULOS,9626, Nulos e brancos 1989 Turno 1,1989, 1
Amazonas,VOTOS NULOS,21632, Nulos e brancos 1989 Turno 1,1989, 1
Roraima,VOTOS NULOS,1572, Nulos e brancos 1989 Turno 1,1989, 1
Pará,VOTOS NULOS,73179, Nulos e brancos 1989 Turno 1,1989, 1
Amapá,VOTOS NULOS,3594, Nulos e brancos 1989 Turno 1,1989, 1
Tocantins,VOTOS NULOS,21292, Nulos e brancos 1989 Turno 1,1989, 1
Maranhão,VOTOS NULOS,116741, Nulos e brancos 1989 Turno 1,1989, 1
Piauí,VOTOS NULOS,77794, Nulos e brancos 1989 Turno 1,1989, 1
Ceará,VOTOS NULOS,153867, Nulos e brancos 1989 Turno 1,1989, 1
R. G. do Norte,VOTOS NULOS,111817, Nulos e brancos 1989 Turno 1,1989, 1
Paraíba,VOTOS NULOS,125005, Nulos e brancos 1989 Turno 1,1989, 1
Pernambuco,VOTOS NULOS,286474, Nulos e brancos 1989 Turno 1,1989, 1
Alagoas,VOTOS NULOS,78847, Nulos e brancos 1989 Turno 1,1989, 1
Sergipe,VOTOS NULOS,63228, Nulos e brancos 1989 Turno 1,1989, 1
Bahia,VOTOS NULOS,497679, Nulos e brancos 1989 Turno 1,1989, 1
Minas Gerais,VOTOS NULOS,466421, Nulos e brancos 1989 Turno 1,1989, 1
Espírito Santo,VOTOS NULOS,67529, Nulos e brancos 1989 Turno 1,1989, 1
Rio de Janeiro,VOTOS NULOS,186259, Nulos e brancos 1989 Turno 1,1989, 1
São Paulo,VOTOS NULOS,545295, Nulos e brancos 1989 Turno 1,1989, 1
Paraná,VOTOS NULOS,188574, Nulos e brancos 1989 Turno 1,1989, 1
Santa Catarina,VOTOS NULOS,85997, Nulos e brancos 1989 Turno 1,1989, 1
R. G. do Sul,VOTOS NULOS,98262, Nulos e brancos 1989 Turno 1,1989, 1
M. G. do Sul,VOTOS NULOS,30110, Nulos e brancos 1989 Turno 1,1989, 1
Mato Grosso,VOTOS NULOS,39030, Nulos e brancos 1989 Turno 1,1989, 1
Goiás,VOTOS NULOS,95220, Nulos e brancos 1989 Turno 1,1989, 1
Distrito Federal,VOTOS NULOS,18691, Nulos e brancos 1989 Turno 1,1989, 1
Rondônia,VOTOS NOS CANDIDATOS,386734, Nulos e brancos 1989 Turno 1,1989, 1
Acre,VOTOS NOS CANDIDATOS,128010, Nulos e brancos 1989 Turno 1,1989, 1
Amazonas,VOTOS NOS CANDIDATOS,595869, Nulos e brancos 1989 Turno 1,1989, 1
Roraima,VOTOS NOS CANDIDATOS,53797, Nulos e brancos 1989 Turno 1,1989, 1
Pará,VOTOS NOS CANDIDATOS,1525326, Nulos e brancos 1989 Turno 1,1989, 1
Amapá,VOTOS NOS CANDIDATOS,87271, Nulos e brancos 1989 Turno 1,1989, 1
Tocantins,VOTOS NOS CANDIDATOS,289000, Nulos e brancos 1989 Turno 1,1989, 1
Maranhão,VOTOS NOS CANDIDATOS,1299262, Nulos e brancos 1989 Turno 1,1989, 1
Piauí,VOTOS NOS CANDIDATOS,965072, Nulos e brancos 1989 Turno 1,1989, 1
Ceará,VOTOS NOS CANDIDATOS,2601856, Nulos e brancos 1989 Turno 1,1989, 1
R. G. do Norte,VOTOS NOS CANDIDATOS,979484, Nulos e brancos 1989 Turno 1,1989, 1
Paraíba,VOTOS NOS CANDIDATOS,1300191, Nulos e brancos 1989 Turno 1,1989, 1
Pernambuco,VOTOS NOS CANDIDATOS,2826828, Nulos e brancos 1989 Turno 1,1989, 1
Alagoas,VOTOS NOS CANDIDATOS,861470, Nulos e brancos 1989 Turno 1,1989, 1
Sergipe,VOTOS NOS CANDIDATOS,593879, Nulos e brancos 1989 Turno 1,1989, 1
Bahia,VOTOS NOS CANDIDATOS,4051075, Nulos e brancos 1989 Turno 1,1989, 1
Minas Gerais,VOTOS NOS CANDIDATOS,7756892, Nulos e brancos 1989 Turno 1,1989, 1
Espírito Santo,VOTOS NOS CANDIDATOS,1183570, Nulos e brancos 1989 Turno 1,1989, 1
Rio de Janeiro,VOTOS NOS CANDIDATOS,7401503, Nulos e brancos 1989 Turno 1,1989, 1
São Paulo,VOTOS NOS CANDIDATOS,16741344, Nulos e brancos 1989 Turno 1,1989, 1
Paraná,VOTOS NOS CANDIDATOS,4277224, Nulos e brancos 1989 Turno 1,1989, 1
Santa Catarina,VOTOS NOS CANDIDATOS,2411062, Nulos e brancos 1989 Turno 1,1989, 1
R. G. do Sul,VOTOS NOS CANDIDATOS,5207189, Nulos e brancos 1989 Turno 1,1989, 1
M. G. do Sul,VOTOS NOS CANDIDATOS,820163, Nulos e brancos 1989 Turno 1,1989, 1
Mato Grosso,VOTOS NOS CANDIDATOS,740275, Nulos e brancos 1989 Turno 1,1989, 1
Goiás,VOTOS NOS CANDIDATOS,1769511, Nulos e brancos 1989 Turno 1,1989, 1
Distrito Federal,VOTOS NOS CANDIDATOS,759480, Nulos e brancos 1989 Turno 1,1989, 1
Rondônia,COMPARECIMENTO,417622,Nulos e Branco 1989 Turno 2,1989, 2
Acre,COMPARECIMENTO,140309,Nulos e Branco 1989 Turno 2,1989, 2
Amazonas,COMPARECIMENTO,626652,Nulos e Branco 1989 Turno 2,1989, 2
Roraima,COMPARECIMENTO,56045,Nulos e Branco 1989 Turno 2,1989, 2
Pará,COMPARECIMENTO,1627799,Nulos e Branco 1989 Turno 2,1989, 2
Amapá,COMPARECIMENTO,91937,Nulos e Branco 1989 Turno 2,1989, 2
Tocantins,COMPARECIMENTO,317901,Nulos e Branco 1989 Turno 2,1989, 2
Maranhão,COMPARECIMENTO,1466281,Nulos e Branco 1989 Turno 2,1989, 2
Piauí,COMPARECIMENTO,1074579,Nulos e Branco 1989 Turno 2,1989, 2
Ceará,COMPARECIMENTO,2811171,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Norte,COMPARECIMENTO,1118754,Nulos e Branco 1989 Turno 2,1989, 2
Paraíba,COMPARECIMENTO,1466880,Nulos e Branco 1989 Turno 2,1989, 2
Pernambuco,COMPARECIMENTO,3210571,Nulos e Branco 1989 Turno 2,1989, 2
Alagoas,COMPARECIMENTO,967803,Nulos e Branco 1989 Turno 2,1989, 2
Sergipe,COMPARECIMENTO,675060,Nulos e Branco 1989 Turno 2,1989, 2
Bahia,COMPARECIMENTO,4711197,Nulos e Branco 1989 Turno 2,1989, 2
Minas Gerais,COMPARECIMENTO,8399385,Nulos e Branco 1989 Turno 2,1989, 2
Espírito Santo,COMPARECIMENTO,1271472,Nulos e Branco 1989 Turno 2,1989, 2
Rio de Janeiro,COMPARECIMENTO,7641004,Nulos e Branco 1989 Turno 2,1989, 2
São Paulo,COMPARECIMENTO,17443260,Nulos e Branco 1989 Turno 2,1989, 2
Paraná,COMPARECIMENTO,4519095,Nulos e Branco 1989 Turno 2,1989, 2
Santa Catarina,COMPARECIMENTO,2523413,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Sul,COMPARECIMENTO,5362973,Nulos e Branco 1989 Turno 2,1989, 2
M. G. do Sul,COMPARECIMENTO,863491,Nulos e Branco 1989 Turno 2,1989, 2
Mato Grosso,COMPARECIMENTO,794124,Nulos e Branco 1989 Turno 2,1989, 2
Goiás,COMPARECIMENTO,1895879,Nulos e Branco 1989 Turno 2,1989, 2
Distrito Federal,COMPARECIMENTO,782751,Nulos e Branco 1989 Turno 2,1989, 2
Rondônia,ABSTENÇÃO,140159,Nulos e Branco 1989 Turno 2,1989, 2
Acre,ABSTENÇÃO,42488,Nulos e Branco 1989 Turno 2,1989, 2
Amazonas,ABSTENÇÃO,215431,Nulos e Branco 1989 Turno 2,1989, 2
Roraima,ABSTENÇÃO,16956,Nulos e Branco 1989 Turno 2,1989, 2
Pará,ABSTENÇÃO,559053,Nulos e Branco 1989 Turno 2,1989, 2
Amapá,ABSTENÇÃO,26207,Nulos e Branco 1989 Turno 2,1989, 2
Tocantins,ABSTENÇÃO,146159,Nulos e Branco 1989 Turno 2,1989, 2
Maranhão,ABSTENÇÃO,678071,Nulos e Branco 1989 Turno 2,1989, 2
Piauí,ABSTENÇÃO,259703,Nulos e Branco 1989 Turno 2,1989, 2
Ceará,ABSTENÇÃO,540435,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Norte,ABSTENÇÃO,179334,Nulos e Branco 1989 Turno 2,1989, 2
Paraíba,ABSTENÇÃO,289537,Nulos e Branco 1989 Turno 2,1989, 2
Pernambuco,ABSTENÇÃO,553572,Nulos e Branco 1989 Turno 2,1989, 2
Alagoas,ABSTENÇÃO,242994,Nulos e Branco 1989 Turno 2,1989, 2
Sergipe,ABSTENÇÃO,101011,Nulos e Branco 1989 Turno 2,1989, 2
Bahia,ABSTENÇÃO,1182664,Nulos e Branco 1989 Turno 2,1989, 2
Minas Gerais,ABSTENÇÃO,1033718,Nulos e Branco 1989 Turno 2,1989, 2
Espírito Santo,ABSTENÇÃO,136287,Nulos e Branco 1989 Turno 2,1989, 2
Rio de Janeiro,ABSTENÇÃO,555543,Nulos e Branco 1989 Turno 2,1989, 2
São Paulo,ABSTENÇÃO,1057720,Nulos e Branco 1989 Turno 2,1989, 2
Paraná,ABSTENÇÃO,526531,Nulos e Branco 1989 Turno 2,1989, 2
Santa Catarina,ABSTENÇÃO,206503,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Sul,ABSTENÇÃO,337488,Nulos e Branco 1989 Turno 2,1989, 2
M. G. do Sul,ABSTENÇÃO,138741,Nulos e Branco 1989 Turno 2,1989, 2
Mato Grosso,ABSTENÇÃO,233848,Nulos e Branco 1989 Turno 2,1989, 2
Goiás,ABSTENÇÃO,304086,Nulos e Branco 1989 Turno 2,1989, 2
Distrito Federal,ABSTENÇÃO,74579,Nulos e Branco 1989 Turno 2,1989, 2
Rondônia,VOTOS EM BRANCO,6808,Nulos e Branco 1989 Turno 2,1989, 2
Acre,VOTOS EM BRANCO,2673,Nulos e Branco 1989 Turno 2,1989, 2
Amazonas,VOTOS EM BRANCO,9151,Nulos e Branco 1989 Turno 2,1989, 2
Roraima,VOTOS EM BRANCO,676,Nulos e Branco 1989 Turno 2,1989, 2
Pará,VOTOS EM BRANCO,29294,Nulos e Branco 1989 Turno 2,1989, 2
Amapá,VOTOS EM BRANCO,1072,Nulos e Branco 1989 Turno 2,1989, 2
Tocantins,VOTOS EM BRANCO,7609,Nulos e Branco 1989 Turno 2,1989, 2
Maranhão,VOTOS EM BRANCO,50278,Nulos e Branco 1989 Turno 2,1989, 2
Piauí,VOTOS EM BRANCO,31713,Nulos e Branco 1989 Turno 2,1989, 2
Ceará,VOTOS EM BRANCO,55448,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Norte,VOTOS EM BRANCO,27453,Nulos e Branco 1989 Turno 2,1989, 2
Paraíba,VOTOS EM BRANCO,41684,Nulos e Branco 1989 Turno 2,1989, 2
Pernambuco,VOTOS EM BRANCO,97269,Nulos e Branco 1989 Turno 2,1989, 2
Alagoas,VOTOS EM BRANCO,27486,Nulos e Branco 1989 Turno 2,1989, 2
Sergipe,VOTOS EM BRANCO,17953,Nulos e Branco 1989 Turno 2,1989, 2
Bahia,VOTOS EM BRANCO,162443,Nulos e Branco 1989 Turno 2,1989, 2
Minas Gerais,VOTOS EM BRANCO,176072,Nulos e Branco 1989 Turno 2,1989, 2
Espírito Santo,VOTOS EM BRANCO,20373,Nulos e Branco 1989 Turno 2,1989, 2
Rio de Janeiro,VOTOS EM BRANCO,53242,Nulos e Branco 1989 Turno 2,1989, 2
São Paulo,VOTOS EM BRANCO,156621,Nulos e Branco 1989 Turno 2,1989, 2
Paraná,VOTOS EM BRANCO,53297,Nulos e Branco 1989 Turno 2,1989, 2
Santa Catarina,VOTOS EM BRANCO,26354,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Sul,VOTOS EM BRANCO,57522,Nulos e Branco 1989 Turno 2,1989, 2
M. G. do Sul,VOTOS EM BRANCO,13218,Nulos e Branco 1989 Turno 2,1989, 2
Mato Grosso,VOTOS EM BRANCO,14819,Nulos e Branco 1989 Turno 2,1989, 2
Goiás,VOTOS EM BRANCO,31148,Nulos e Branco 1989 Turno 2,1989, 2
Distrito Federal,VOTOS EM BRANCO,4580,Nulos e Branco 1989 Turno 2,1989, 2
Rondônia,VOTOS NULOS,24080,Nulos e Branco 1989 Turno 2,1989, 2
Acre,VOTOS NULOS,9626,Nulos e Branco 1989 Turno 2,1989, 2
Amazonas,VOTOS NULOS,21632,Nulos e Branco 1989 Turno 2,1989, 2
Roraima,VOTOS NULOS,1572,Nulos e Branco 1989 Turno 2,1989, 2
Pará,VOTOS NULOS,73179,Nulos e Branco 1989 Turno 2,1989, 2
Amapá,VOTOS NULOS,3594,Nulos e Branco 1989 Turno 2,1989, 2
Tocantins,VOTOS NULOS,21292,Nulos e Branco 1989 Turno 2,1989, 2
Maranhão,VOTOS NULOS,116741,Nulos e Branco 1989 Turno 2,1989, 2
Piauí,VOTOS NULOS,77794,Nulos e Branco 1989 Turno 2,1989, 2
Ceará,VOTOS NULOS,153867,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Norte,VOTOS NULOS,111817,Nulos e Branco 1989 Turno 2,1989, 2
Paraíba,VOTOS NULOS,125005,Nulos e Branco 1989 Turno 2,1989, 2
Pernambuco,VOTOS NULOS,286474,Nulos e Branco 1989 Turno 2,1989, 2
Alagoas,VOTOS NULOS,78847,Nulos e Branco 1989 Turno 2,1989, 2
Sergipe,VOTOS NULOS,63228,Nulos e Branco 1989 Turno 2,1989, 2
Bahia,VOTOS NULOS,497679,Nulos e Branco 1989 Turno 2,1989, 2
Minas Gerais,VOTOS NULOS,466421,Nulos e Branco 1989 Turno 2,1989, 2
Espírito Santo,VOTOS NULOS,67529,Nulos e Branco 1989 Turno 2,1989, 2
Rio de Janeiro,VOTOS NULOS,186259,Nulos e Branco 1989 Turno 2,1989, 2
São Paulo,VOTOS NULOS,545295,Nulos e Branco 1989 Turno 2,1989, 2
Paraná,VOTOS NULOS,188574,Nulos e Branco 1989 Turno 2,1989, 2
Santa Catarina,VOTOS NULOS,85997,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Sul,VOTOS NULOS,98262,Nulos e Branco 1989 Turno 2,1989, 2
M. G. do Sul,VOTOS NULOS,30110,Nulos e Branco 1989 Turno 2,1989, 2
Mato Grosso,VOTOS NULOS,39030,Nulos e Branco 1989 Turno 2,1989, 2
Goiás,VOTOS NULOS,95220,Nulos e Branco 1989 Turno 2,1989, 2
Distrito Federal,VOTOS NULOS,18691,Nulos e Branco 1989 Turno 2,1989, 2
Rondônia,VOTOS NOS CANDIDATOS,386734,Nulos e Branco 1989 Turno 2,1989, 2
Acre,VOTOS NOS CANDIDATOS,128010,Nulos e Branco 1989 Turno 2,1989, 2
Amazonas,VOTOS NOS CANDIDATOS,595869,Nulos e Branco 1989 Turno 2,1989, 2
Roraima,VOTOS NOS CANDIDATOS,53797,Nulos e Branco 1989 Turno 2,1989, 2
Pará,VOTOS NOS CANDIDATOS,1525326,Nulos e Branco 1989 Turno 2,1989, 2
Amapá,VOTOS NOS CANDIDATOS,87271,Nulos e Branco 1989 Turno 2,1989, 2
Tocantins,VOTOS NOS CANDIDATOS,289000,Nulos e Branco 1989 Turno 2,1989, 2
Maranhão,VOTOS NOS CANDIDATOS,1299262,Nulos e Branco 1989 Turno 2,1989, 2
Piauí,VOTOS NOS CANDIDATOS,965072,Nulos e Branco 1989 Turno 2,1989, 2
Ceará,VOTOS NOS CANDIDATOS,2601856,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Norte,VOTOS NOS CANDIDATOS,979484,Nulos e Branco 1989 Turno 2,1989, 2
Paraíba,VOTOS NOS CANDIDATOS,1300191,Nulos e Branco 1989 Turno 2,1989, 2
Pernambuco,VOTOS NOS CANDIDATOS,2826828,Nulos e Branco 1989 Turno 2,1989, 2
Alagoas,VOTOS NOS CANDIDATOS,861470,Nulos e Branco 1989 Turno 2,1989, 2
Sergipe,VOTOS NOS CANDIDATOS,593879,Nulos e Branco 1989 Turno 2,1989, 2
Bahia,VOTOS NOS CANDIDATOS,4051075,Nulos e Branco 1989 Turno 2,1989, 2
Minas Gerais,VOTOS NOS CANDIDATOS,7756892,Nulos e Branco 1989 Turno 2,1989, 2
Espírito Santo,VOTOS NOS CANDIDATOS,1183570,Nulos e Branco 1989 Turno 2,1989, 2
Rio de Janeiro,VOTOS NOS CANDIDATOS,7401503,Nulos e Branco 1989 Turno 2,1989, 2
São Paulo,VOTOS NOS CANDIDATOS,16741344,Nulos e Branco 1989 Turno 2,1989, 2
Paraná,VOTOS NOS CANDIDATOS,4277224,Nulos e Branco 1989 Turno 2,1989, 2
Santa Catarina,VOTOS NOS CANDIDATOS,2411062,Nulos e Branco 1989 Turno 2,1989, 2
R. G. do Sul,VOTOS NOS CANDIDATOS,5207189,Nulos e Branco 1989 Turno 2,1989, 2
M. G. do Sul,VOTOS NOS CANDIDATOS,820163,Nulos e Branco 1989 Turno 2,1989, 2
Mato Grosso,VOTOS NOS CANDIDATOS,740275,Nulos e Branco 1989 Turno 2,1989, 2
Goiás,VOTOS NOS CANDIDATOS,1769511,Nulos e Branco 1989 Turno 2,1989, 2
Distrito Federal,VOTOS NOS CANDIDATOS,759480,Nulos e Branco 1989 Turno 2,1989, 2
Rondônia,COMPARECIMENTO,480320,Nulos e Brancos 1994 Turno 1,1994, 1
Acre,COMPARECIMENTO,206393,Nulos e Brancos 1994 Turno 1,1994, 1
Amazonas,COMPARECIMENTO,799541,Nulos e Brancos 1994 Turno 1,1994, 1
Roraima,COMPARECIMENTO,93902,Nulos e Brancos 1994 Turno 1,1994, 1
Pará,COMPARECIMENTO,1868313,Nulos e Brancos 1994 Turno 1,1994, 1
Amapá,COMPARECIMENTO,142626,Nulos e Brancos 1994 Turno 1,1994, 1
Tocantins,COMPARECIMENTO,443200,Nulos e Brancos 1994 Turno 1,1994, 1
Maranhão,COMPARECIMENTO,1817179,Nulos e Brancos 1994 Turno 1,1994, 1
Piauí,COMPARECIMENTO,1268153,Nulos e Brancos 1994 Turno 1,1994, 1
Ceará,COMPARECIMENTO,3124785,Nulos e Brancos 1994 Turno 1,1994, 1
R. G. do Norte,COMPARECIMENTO,1254124,Nulos e Brancos 1994 Turno 1,1994, 1
Paraíba,COMPARECIMENTO,1619649,Nulos e Brancos 1994 Turno 1,1994, 1
Pernambuco,COMPARECIMENTO,3523982,Nulos e Brancos 1994 Turno 1,1994, 1
Alagoas,COMPARECIMENTO,979067,Nulos e Brancos 1994 Turno 1,1994, 1
Sergipe,COMPARECIMENTO,778627,Nulos e Brancos 1994 Turno 1,1994, 1
Bahia,COMPARECIMENTO,5156380,Nulos e Brancos 1994 Turno 1,1994, 1
Minas Gerais,COMPARECIMENTO,8837261,Nulos e Brancos 1994 Turno 1,1994, 1
Espírito Santo,COMPARECIMENTO,1415810,Nulos e Brancos 1994 Turno 1,1994, 1
Rio de Janeiro,COMPARECIMENTO,7743559,Nulos e Brancos 1994 Turno 1,1994, 1
São Paulo,COMPARECIMENTO,18413248,Nulos e Brancos 1994 Turno 1,1994, 1
Paraná,COMPARECIMENTO,4743804,Nulos e Brancos 1994 Turno 1,1994, 1
Santa Catarina,COMPARECIMENTO,2740431,Nulos e Brancos 1994 Turno 1,1994, 1
R. G. do Sul,COMPARECIMENTO,5549281,Nulos e Brancos 1994 Turno 1,1994, 1
M. G. do Sul,COMPARECIMENTO,947159,Nulos e Brancos 1994 Turno 1,1994, 1
Mato Grosso,COMPARECIMENTO,936782,Nulos e Brancos 1994 Turno 1,1994, 1
Goiás,COMPARECIMENTO,2121879,Nulos e Brancos 1994 Turno 1,1994, 1
Distrito Federal,COMPARECIMENTO,915178,Nulos e Brancos 1994 Turno 1,1994, 1
C. OESTE,COMPARECIMENTO,4920998,Nulos e Brancos 1994 Turno 1,1994, 1
Rondônia,ABSTENÇÃO,211747,Nulos e Brancos 1994 Turno 1,1994, 1
Acre,ABSTENÇÃO,56769,Nulos e Brancos 1994 Turno 1,1994, 1
Amazonas,ABSTENÇÃO,306465,Nulos e Brancos 1994 Turno 1,1994, 1
Roraima,ABSTENÇÃO,25986,Nulos e Brancos 1994 Turno 1,1994, 1
