estado,nome,partido,coligacao,votos,porcentagem,cargo,ano,turno
Amapá,Leonel Brizola ,PDT,PDT,4935,0.01,Presidente,1989,Turno 1
Tocantins,Leonel Brizola ,PDT,PDT,11605,0.02,Presidente,1989,Turno 1
Maranhão,Leonel Brizola ,PDT,PDT,116539,0.17,Presidente,1989,Turno 1
Piauí,Leonel Brizola ,PDT,PDT,93507,0.14,Presidente,1989,Turno 1
Ceará,Leonel Brizola ,PDT,PDT,505440,0.75,Presidente,1989,Turno 1
R. G. do Norte,Leonel Brizola ,PDT,PDT,78259,0.12,Presidente,1989,Turno 1
Paraíba,Leonel Brizola ,PDT,PDT,186076,0.28,Presidente,1989,Turno 1
Pernambuco,Leonel Brizola ,PDT,PDT,265548,0.39,Presidente,1989,Turno 1
Alagoas,Leonel Brizola ,PDT,PDT,63071,0.09,Presidente,1989,Turno 1
Sergipe,Leonel Brizola ,PDT,PDT,55751,0.08,Presidente,1989,Turno 1
Bahia,Leonel Brizola ,PDT,PDT,229186,0.34,Presidente,1989,Turno 1
Minas Gerais,Leonel Brizola ,PDT,PDT,418935,0.62,Presidente,1989,Turno 1
Espírito Santo,Leonel Brizola ,PDT,PDT,105093,0.16,Presidente,1989,Turno 1
Rio de Janeiro,Leonel Brizola ,PDT,PDT,3855561,5.7,Presidente,1989,Turno 1
São Paulo,Leonel Brizola ,PDT,PDT,252651,0.37,Presidente,1989,Turno 1
Paraná,Leonel Brizola ,PDT,PDT,616170,0.91,Presidente,1989,Turno 1
Santa Catarina,Leonel Brizola ,PDT,PDT,632170,0.93,Presidente,1989,Turno 1
R. G. do Sul,Leonel Brizola ,PDT,PDT,3262925,4.83,Presidente,1989,Turno 1
M. G. do Sul,Leonel Brizola ,PDT,PDT,63721,0.09,Presidente,1989,Turno 1
Mato Grosso,Leonel Brizola ,PDT,PDT,75194,0.11,Presidente,1989,Turno 1
Goiás,Leonel Brizola ,PDT,PDT,70146,0.1,Presidente,1989,Turno 1
Distrito Federal,Leonel Brizola ,PDT,PDT,71719,0.11,Presidente,1989,Turno 1
Rondônia,Mário Covas ,PSDB,PSDB,13718,0.02,Presidente,1989,Turno 1
Acre,Mário Covas ,PSDB,PSDB,3716,0.01,Presidente,1989,Turno 1
Amazonas,Mário Covas ,PSDB,PSDB,36380,0.05,Presidente,1989,Turno 1
Roraima,Mário Covas ,PSDB,PSDB,2944,0,Presidente,1989,Turno 1
Pará,Mário Covas ,PSDB,PSDB,101282,0.15,Presidente,1989,Turno 1
Amapá,Mário Covas ,PSDB,PSDB,3695,0.01,Presidente,1989,Turno 1
Tocantins,Mário Covas ,PSDB,PSDB,9739,0.01,Presidente,1989,Turno 1
Maranhão,Mário Covas ,PSDB,PSDB,44154,0.07,Presidente,1989,Turno 1
Piauí,Mário Covas ,PSDB,PSDB,48763,0.07,Presidente,1989,Turno 1
Ceará,Mário Covas ,PSDB,PSDB,477286,0.71,Presidente,1989,Turno 1
R. G. do Norte,Mário Covas ,PSDB,PSDB,56768,0.08,Presidente,1989,Turno 1
