estado,ano,turno,situacao,quantidade,proporcao
Amazonas,2014,2,DEMAIS,636791,0.28610934761384216
Amazonas,2014,2,VALIDOS,1588900,0.7138906523861578
Bahia,1989,1,DEMAIS,1842786,0.31266193756520555
Bahia,1989,1,VALIDOS,4051075,0.68733806243479445
Bahia,1989,2,DEMAIS,1842786,0.31266193756520555
Bahia,1989,2,VALIDOS,4051075,0.68733806243479445
Bahia,1994,1,DEMAIS,3307734,0.4704082584620566
Bahia,1994,1,VALIDOS,3723890,0.5295917415379434
Bahia,1998,1,DEMAIS,4048048,0.5103292542776128
Bahia,1998,1,VALIDOS,3884180,0.4896707457223872
Bahia,2002,1,DEMAIS,3323038,0.3878390562185132
Bahia,2002,1,VALIDOS,5245047,0.6121609437814868
Bahia,2002,2,DEMAIS,2919922,0.3407699412342877
Bahia,2002,2,VALIDOS,5648680,0.6592300587657123
Bahia,2006,1,DEMAIS,11777649,0.646459139304405
Bahia,2006,1,VALIDOS,6441057,0.353540860695595
Bahia,2006,2,DEMAIS,11573975,0.6352797503840284
Bahia,2006,2,VALIDOS,6644731,0.3647202496159716
Bahia,2010,1,DEMAIS,2856467,0.29928299076481546
Bahia,2010,1,VALIDOS,6687901,0.7007170092351845
Bahia,2010,2,DEMAIS,2859028,0.29954117948920506
Bahia,2010,2,VALIDOS,6685663,0.700458820510795
Bahia,2014,1,DEMAIS,3193495,0.31372164736786784
Bahia,2014,1,VALIDOS,6985895,0.6862783526321322
Bahia,2014,2,DEMAIS,2968493,0.2916107175860686
Bahia,2014,2,VALIDOS,7211150,0.7083892824139314
C. OESTE,1994,1,DEMAIS,1996510,0.3259906211833245
C. OESTE,1994,1,VALIDOS,4127930,0.6740093788166754
C. OESTE,1998,1,DEMAIS,2373949,0.3396102981095717
C. OESTE,1998,1,VALIDOS,4616266,0.6603897018904282
Ceará,1989,1,DEMAIS,749750,0.22369872831114396
Ceará,1989,1,VALIDOS,2601856,0.776301271688856
Ceará,1989,2,DEMAIS,749750,0.22369872831114396
Ceará,1989,2,VALIDOS,2601856,0.776301271688856
Ceará,1994,1,DEMAIS,1526120,0.3809078822013946
Ceará,1994,1,VALIDOS,2480413,0.6190921177986054
Ceará,1998,1,DEMAIS,1645827,0.3825787495379981
Ceará,1998,1,VALIDOS,2656103,0.6174212504620019
Ceará,2002,1,DEMAIS,1366885,0.28445605117226774
Ceará,2002,1,VALIDOS,3438374,0.7155439488277323
Ceará,2002,2,DEMAIS,1326507,0.27605317424097225
Ceará,2002,2,VALIDOS,3478752,0.7239468257590278
Ceará,2006,1,DEMAIS,6717664,0.6264629779910068
Ceará,2006,1,VALIDOS,4005498,0.37353702200899325
Ceará,2006,2,DEMAIS,6603165,0.6157852506564762
Ceará,2006,2,VALIDOS,4119997,0.38421474934352384
Ceará,2010,1,DEMAIS,1679555,0.2857325861941666
Ceará,2010,1,VALIDOS,4198511,0.7142674138058334
Ceará,2010,2,DEMAIS,1626893,0.2767675843184435
Ceará,2010,2,VALIDOS,4251299,0.7232324156815565
Ceará,2014,1,DEMAIS,1748677,0.2789443904832563
Ceará,2014,1,VALIDOS,4520232,0.7210556095167436
Ceará,2014,2,DEMAIS,1679716,0.26793844094395997
Ceará,2014,2,VALIDOS,4589321,0.73206155905604
Distrito Federal,2006,1,DEMAIS,1962295,0.5928204585964171
Distrito Federal,2006,1,VALIDOS,1347805,0.407179541403583
Distrito Federal,2006,2,DEMAIS,1966955,0.594228271049213
Distrito Federal,2006,2,VALIDOS,1343145,0.405771728950787
Distrito Federal,2010,1,DEMAIS,376883,0.2055043180209625
Distrito Federal,2010,1,VALIDOS,1457059,0.7944956819790375
Distrito Federal,2010,2,DEMAIS,492162,0.2683346645694019
Distrito Federal,2010,2,VALIDOS,1341973,0.7316653354305981
Distrito Federal,2014,1,DEMAIS,321183,0.1694273926687651
Distrito Federal,2014,1,VALIDOS,1574514,0.830572607331235
Distrito Federal,2014,2,DEMAIS,372138,0.19627593758208095
Distrito Federal,2014,2,VALIDOS,1523856,0.803724062417919
Distrito Federal,1989,1,DEMAIS,97850,0.11413341420456534
Distrito Federal,1989,1,VALIDOS,759480,0.8858665857954346
Distrito Federal,1989,2,DEMAIS,97850,0.11413341420456534
Distrito Federal,1989,2,VALIDOS,759480,0.8858665857954346
Distrito Federal,1994,1,DEMAIS,247809,0.23328754988246614
Distrito Federal,1994,1,VALIDOS,814438,0.7667124501175339
Distrito Federal,1998,1,DEMAIS,300783,0.23722459924680087
Distrito Federal,1998,1,VALIDOS,967142,0.7627754007531992
Distrito Federal,2002,1,DEMAIS,308503,0.20337486930737192
Distrito Federal,2002,1,VALIDOS,1208415,0.7966251306926281
Distrito Federal,2002,2,DEMAIS,269244,0.17731654326126142
Distrito Federal,2002,2,VALIDOS,1249193,0.82268345673873855
Espirito Santo,2006,1,DEMAIS,2871872,0.6146636343050674
Espirito Santo,2006,1,VALIDOS,1800394,0.3853363656949326
Espirito Santo,2006,2,DEMAIS,2855955,0.6112569361419063
Espirito Santo,2006,2,VALIDOS,1816311,0.3887430638580937
Espirito Santo,2010,1,DEMAIS,596100,0.23636087519741347
Espirito Santo,2010,1,VALIDOS,1925891,0.7636391248025866
Espirito Santo,2010,2,DEMAIS,642603,0.254791695082456
Espirito Santo,2010,2,VALIDOS,1879469,0.745208304917544
Espirito Santo,2014,1,DEMAIS,678402,0.25584425526875826
Espirito Santo,2014,1,VALIDOS,1973219,0.7441557447312418
Espirito Santo,2014,2,DEMAIS,675751,0.25483459062858727
Espirito Santo,2014,2,VALIDOS,1975973,0.7451654093714127
Espírito Santo,1989,1,DEMAIS,224189,0.15925240044638322
Espírito Santo,1989,1,VALIDOS,1183570,0.8407475995536168
Espírito Santo,1989,2,DEMAIS,224189,0.15925240044638322
Espírito Santo,1989,2,VALIDOS,1183570,0.8407475995536168
Espírito Santo,1994,1,DEMAIS,519907,0.3039096198170488
Espírito Santo,1994,1,VALIDOS,1190822,0.6960903801829512
Espírito Santo,1998,1,DEMAIS,658873,0.3437208511313152
Espírito Santo,1998,1,VALIDOS,1258011,0.6562791488686848
Espírito Santo,2002,2,DEMAIS,555759,0.2589230930500716
Espírito Santo,2002,2,VALIDOS,1590666,0.7410769069499283
Espírito Santo,2002,1,DEMAIS,534429,0.24898563891121284
Espírito Santo,2002,1,VALIDOS,1611996,0.7510143610887872
Goiás,1989,1,DEMAIS,430454,0.19566402192762158
Goiás,1989,1,VALIDOS,1769511,0.8043359780723784
Goiás,1989,2,DEMAIS,430454,0.19566402192762158
Goiás,1989,2,VALIDOS,1769511,0.8043359780723784
Goiás,1994,1,DEMAIS,885968,0.33788528799659207
Goiás,1994,1,VALIDOS,1736129,0.662114712003408
Goiás,1998,1,DEMAIS,1057531,0.3586149155016121
Goiás,1998,1,VALIDOS,1891401,0.6413850844983879
Goiás,2002,1,DEMAIS,825565,0.24527697032070372
Goiás,2002,1,VALIDOS,2540283,0.7547230296792963
Goiás,2002,2,DEMAIS,870542,0.25863972466968205
Goiás,2002,2,VALIDOS,2495306,0.7413602753303179
Goiás,2006,1,DEMAIS,4622309,0.6189180503911831
Goiás,2006,1,VALIDOS,2846061,0.3810819496088169
Goiás,2006,2,DEMAIS,4757079,0.636963487347306
Goiás,2006,2,VALIDOS,2711291,0.363036512652694
Goiás,2010,1,DEMAIS,976119,0.24048784501856654
Goiás,2010,1,VALIDOS,3082793,0.7595121549814334
Goiás,2010,2,DEMAIS,1122482,0.2765396050483022
Goiás,2010,2,VALIDOS,2936546,0.7234603949516978
Goiás,2014,1,DEMAIS,1103282,0.25480930677711894
Goiás,2014,1,VALIDOS,3226552,0.745190693222881
Goiás,2014,2,DEMAIS,1146187,0.2647124712351141
Goiás,2014,2,VALIDOS,3183745,0.7352875287648859
M. G. do Sul,1989,1,DEMAIS,182069,0.18166352700771876
M. G. do Sul,1989,1,VALIDOS,820163,0.8183364729922812
M. G. do Sul,1989,2,DEMAIS,182069,0.18166352700771876
M. G. do Sul,1989,2,VALIDOS,820163,0.8183364729922812
M. G. do Sul,1994,1,DEMAIS,355104,0.3058462397097809
M. G. do Sul,1994,1,VALIDOS,805950,0.694153760290219
M. G. do Sul,2002,1,DEMAIS,335665,0.23776131148562835
M. G. do Sul,2002,1,VALIDOS,1076108,0.7622386885143716
M. G. do Sul,2002,2,DEMAIS,334638,0.23703385742608762
M. G. do Sul,2002,2,VALIDOS,1077135,0.7629661425739124
M. G. do Sul,2006,1,DEMAIS,1899900,0.6084816558746231
M. G. do Sul,2006,1,VALIDOS,1222462,0.3915183441253769
M. G. do Sul,2006,2,DEMAIS,1930905,0.6184116383686453
M. G. do Sul,2006,2,VALIDOS,1191457,0.38158836163135473
M. G. do Sul,2010,1,DEMAIS,399063,0.2346170760156904
M. G. do Sul,2010,1,VALIDOS,1301849,0.7653829239843096
M. G. do Sul,2010,2,DEMAIS,463391,0.27242605581844337
M. G. do Sul,2010,2,VALIDOS,1237588,0.7275739441815566
M. G. do Sul,2014,1,DEMAIS,466106,0.25645291830420835
M. G. do Sul,2014,1,VALIDOS,1351405,0.7435470816957916
M. G. do Sul,2014,2,DEMAIS,464479,0.25555267621690114
M. G. do Sul,2014,2,VALIDOS,1353068,0.7444473237830989
M. G. do Sul,1998,1,DEMAIS,407237,0.32399930941589156
M. G. do Sul,1998,1,VALIDOS,849670,0.6760006905841085
Maranhão,1989,1,DEMAIS,845090,0.394100408888093
Maranhão,1989,1,VALIDOS,1299262,0.605899591111907
Maranhão,1989,2,DEMAIS,845090,0.394100408888093
Maranhão,1989,2,VALIDOS,1299262,0.605899591111907
Maranhão,1994,1,DEMAIS,1353730,0.5175906968030297
Maranhão,1994,1,VALIDOS,1261715,0.4824093031969703
Maranhão,1998,1,DEMAIS,1473524,0.4932738758576917
Maranhão,1998,1,VALIDOS,1513709,0.5067261241423083
Maranhão,2002,1,DEMAIS,1328525,0.39178930065230144
Maranhão,2002,1,VALIDOS,2062392,0.6082106993476986
Maranhão,2002,2,DEMAIS,1289117,0.3800960385144754
Maranhão,2002,2,VALIDOS,2102439,0.6199039614855246
Maranhão,2006,1,DEMAIS,5022618,0.6405407018503253
Maranhão,2006,1,VALIDOS,2818598,0.35945929814967476
Maranhão,2006,2,DEMAIS,5146588,0.6563507496796416
Maranhão,2006,2,VALIDOS,2694628,0.3436492503203585
Maranhão,2010,1,DEMAIS,1376969,0.3186876438986953
Maranhão,2010,1,VALIDOS,2943779,0.6813123561013047
Maranhão,2010,2,DEMAIS,1420010,0.3286599909040516
Maranhão,2010,2,VALIDOS,2900595,0.6713400090959484
Maranhão,2014,1,DEMAIS,1350935,0.3004839559203748
Maranhão,2014,1,VALIDOS,3144929,0.6995160440796252
Maranhão,2014,2,DEMAIS,1352624,0.30085702471783754
Maranhão,2014,2,VALIDOS,3143279,0.6991429752821624
Mato Grosso,1989,1,DEMAIS,287697,0.2798685178195515
Mato Grosso,1989,1,VALIDOS,740275,0.7201314821804485
Mato Grosso,1989,2,DEMAIS,287697,0.2798685178195515
Mato Grosso,1989,2,VALIDOS,740275,0.7201314821804485
Mato Grosso,1994,1,DEMAIS,507629,0.3968821977698934
Mato Grosso,1994,1,VALIDOS,771413,0.6031178022301066
Mato Grosso,2002,1,DEMAIS,478641,0.27666757994985036
