estado,partido,votos,eleicao,ano
Alagoas,PCB,4873,Camara dos Deputados 1990,1990
Sergipe,PCB,4501,Camara dos Deputados 1990,1990
Bahia,PCB,18229,Camara dos Deputados 1990,1990
Minas Gerais,PCB,28694,Camara dos Deputados 1990,1990
Espírito Santo,PCB,3636,Camara dos Deputados 1990,1990
Rio de Janeiro,PCB,98489,Camara dos Deputados 1990,1990
São Paulo,PCB,26394,Camara dos Deputados 1990,1990
Paraná,PCB,5469,Camara dos Deputados 1990,1990
Santa Catarina,PCB,14294,Camara dos Deputados 1990,1990
R. G. do Sul,PCB,10249,Camara dos Deputados 1990,1990
M. G. do Sul,PCB,2057,Camara dos Deputados 1990,1990
Mato Grosso,PCB,646,Camara dos Deputados 1990,1990
Goiás,PCB,1998,Camara dos Deputados 1990,1990
Distrito Federal,PCB,44789,Camara dos Deputados 1990,1990
Rondônia,PST,485,Camara dos Deputados 1990,1990
Acre,PST,NA,Camara dos Deputados 1990,1990
Amazonas,PST,24186,Camara dos Deputados 1990,1990
Roraima,PST,215,Camara dos Deputados 1990,1990
Pará,PST,11676,Camara dos Deputados 1990,1990
Amapá,PST,160,Camara dos Deputados 1990,1990
Tocantins,PST,4010,Camara dos Deputados 1990,1990
Maranhão,PST,NA,Camara dos Deputados 1990,1990
Piauí,PST,NA,Camara dos Deputados 1990,1990
Ceará,PST,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PST,31845,Camara dos Deputados 1990,1990
Paraíba,PST,2197,Camara dos Deputados 1990,1990
Pernambuco,PST,1489,Camara dos Deputados 1990,1990
Alagoas,PST,NA,Camara dos Deputados 1990,1990
Sergipe,PST,NA,Camara dos Deputados 1990,1990
Bahia,PST,18070,Camara dos Deputados 1990,1990
Minas Gerais,PST,33407,Camara dos Deputados 1990,1990
Espírito Santo,PST,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PST,14044,Camara dos Deputados 1990,1990
São Paulo,PST,93154,Camara dos Deputados 1990,1990
Paraná,PST,6980,Camara dos Deputados 1990,1990
Santa Catarina,PST,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PST,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PST,129707,Camara dos Deputados 1990,1990
Mato Grosso,PST,457,Camara dos Deputados 1990,1990
Goiás,PST,NA,Camara dos Deputados 1990,1990
Distrito Federal,PST,1904,Camara dos Deputados 1990,1990
Rondônia,PC do B,591,Camara dos Deputados 1990,1990
Acre,PC do B,3028,Camara dos Deputados 1990,1990
Amazonas,PC do B,13424,Camara dos Deputados 1990,1990
Roraima,PC do B,30,Camara dos Deputados 1990,1990
Pará,PC do B,64274,Camara dos Deputados 1990,1990
Amapá,PC do B,85,Camara dos Deputados 1990,1990
Tocantins,PC do B,NA,Camara dos Deputados 1990,1990
Maranhão,PC do B,573,Camara dos Deputados 1990,1990
Piauí,PC do B,23779,Camara dos Deputados 1990,1990
Ceará,PC do B,14944,Camara dos Deputados 1990,1990
R. G. do Norte,PC do B,5983,Camara dos Deputados 1990,1990
Paraíba,PC do B,4994,Camara dos Deputados 1990,1990
Pernambuco,PC do B,5755,Camara dos Deputados 1990,1990
Alagoas,PC do B,942,Camara dos Deputados 1990,1990
Sergipe,PC do B,3042,Camara dos Deputados 1990,1990
Bahia,PC do B,31698,Camara dos Deputados 1990,1990
Minas Gerais,PC do B,20027,Camara dos Deputados 1990,1990
Espírito Santo,PC do B,4696,Camara dos Deputados 1990,1990
Rio de Janeiro,PC do B,41279,Camara dos Deputados 1990,1990
São Paulo,PC do B,48874,Camara dos Deputados 1990,1990
Paraná,PC do B,3158,Camara dos Deputados 1990,1990
Santa Catarina,PC do B,5270,Camara dos Deputados 1990,1990
R. G. do Sul,PC do B,23286,Camara dos Deputados 1990,1990
M. G. do Sul,PC do B,668,Camara dos Deputados 1990,1990
Mato Grosso,PC do B,513,Camara dos Deputados 1990,1990
Goiás,PC do B,29129,Camara dos Deputados 1990,1990
Distrito Federal,PC do B,2007,Camara dos Deputados 1990,1990
Rondônia,PSC,3204,Camara dos Deputados 1990,1990
Acre,PSC,NA,Camara dos Deputados 1990,1990
Amazonas,PSC,2793,Camara dos Deputados 1990,1990
Roraima,PSC,3071,Camara dos Deputados 1990,1990
Pará,PSC,7712,Camara dos Deputados 1990,1990
Amapá,PSC,8407,Camara dos Deputados 1990,1990
Tocantins,PSC,NA,Camara dos Deputados 1990,1990
Maranhão,PSC,26480,Camara dos Deputados 1990,1990
Piauí,PSC,4736,Camara dos Deputados 1990,1990
Ceará,PSC,5438,Camara dos Deputados 1990,1990
R. G. do Norte,PSC,8,Camara dos Deputados 1990,1990
Paraíba,PSC,7573,Camara dos Deputados 1990,1990
Pernambuco,PSC,4510,Camara dos Deputados 1990,1990
Alagoas,PSC,181008,Camara dos Deputados 1990,1990
Sergipe,PSC,NA,Camara dos Deputados 1990,1990
Bahia,PSC,11157,Camara dos Deputados 1990,1990
Minas Gerais,PSC,12287,Camara dos Deputados 1990,1990
Espírito Santo,PSC,2189,Camara dos Deputados 1990,1990
Rio de Janeiro,PSC,26385,Camara dos Deputados 1990,1990
São Paulo,PSC,NA,Camara dos Deputados 1990,1990
Paraná,PSC,28725,Camara dos Deputados 1990,1990
Santa Catarina,PSC,3336,Camara dos Deputados 1990,1990
R. G. do Sul,PSC,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PSC,NA,Camara dos Deputados 1990,1990
Mato Grosso,PSC,NA,Camara dos Deputados 1990,1990
Goiás,PSC,453,Camara dos Deputados 1990,1990
Distrito Federal,PSC,2607,Camara dos Deputados 1990,1990
Rondônia,PMN,35651,Camara dos Deputados 1990,1990
Acre,PMN,77,Camara dos Deputados 1990,1990
Amazonas,PMN,4144,Camara dos Deputados 1990,1990
Roraima,PMN,37,Camara dos Deputados 1990,1990
Pará,PMN,1843,Camara dos Deputados 1990,1990
Amapá,PMN,NA,Camara dos Deputados 1990,1990
Tocantins,PMN,NA,Camara dos Deputados 1990,1990
Maranhão,PMN,1312,Camara dos Deputados 1990,1990
Piauí,PMN,NA,Camara dos Deputados 1990,1990
Ceará,PMN,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PMN,NA,Camara dos Deputados 1990,1990
Paraíba,PMN,691,Camara dos Deputados 1990,1990
Pernambuco,PMN,2270,Camara dos Deputados 1990,1990
Alagoas,PMN,NA,Camara dos Deputados 1990,1990
Sergipe,PMN,19041,Camara dos Deputados 1990,1990
Bahia,PMN,5413,Camara dos Deputados 1990,1990
Minas Gerais,PMN,95832,Camara dos Deputados 1990,1990
Espírito Santo,PMN,1624,Camara dos Deputados 1990,1990
Rio de Janeiro,PMN,21168,Camara dos Deputados 1990,1990
São Paulo,PMN,47805,Camara dos Deputados 1990,1990
Paraná,PMN,4482,Camara dos Deputados 1990,1990
Santa Catarina,PMN,3871,Camara dos Deputados 1990,1990
R. G. do Sul,PMN,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PMN,1670,Camara dos Deputados 1990,1990
Mato Grosso,PMN,645,Camara dos Deputados 1990,1990
Goiás,PMN,NA,Camara dos Deputados 1990,1990
Distrito Federal,PMN,2030,Camara dos Deputados 1990,1990
Rondônia,PRS,NA,Camara dos Deputados 1990,1990
Acre,PRS,NA,Camara dos Deputados 1990,1990
Amazonas,PRS,NA,Camara dos Deputados 1990,1990
Roraima,PRS,NA,Camara dos Deputados 1990,1990
Pará,PRS,NA,Camara dos Deputados 1990,1990
Amapá,PRS,NA,Camara dos Deputados 1990,1990
Tocantins,PRS,NA,Camara dos Deputados 1990,1990
Maranhão,PRS,NA,Camara dos Deputados 1990,1990
Piauí,PRS,NA,Camara dos Deputados 1990,1990
Ceará,PRS,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PRS,NA,Camara dos Deputados 1990,1990
Paraíba,PRS,NA,Camara dos Deputados 1990,1990
Pernambuco,PRS,NA,Camara dos Deputados 1990,1990
Alagoas,PRS,NA,Camara dos Deputados 1990,1990
Sergipe,PRS,NA,Camara dos Deputados 1990,1990
Bahia,PRS,NA,Camara dos Deputados 1990,1990
Minas Gerais,PRS,243231,Camara dos Deputados 1990,1990
Espírito Santo,PRS,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PRS,NA,Camara dos Deputados 1990,1990
São Paulo,PRS,NA,Camara dos Deputados 1990,1990
Paraná,PRS,NA,Camara dos Deputados 1990,1990
Santa Catarina,PRS,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PRS,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PRS,NA,Camara dos Deputados 1990,1990
Mato Grosso,PRS,NA,Camara dos Deputados 1990,1990
Goiás,PRS,NA,Camara dos Deputados 1990,1990
Distrito Federal,PRS,NA,Camara dos Deputados 1990,1990
Rondônia,PSD,NA,Camara dos Deputados 1990,1990
Acre,PSD,NA,Camara dos Deputados 1990,1990
Amazonas,PSD,1051,Camara dos Deputados 1990,1990
Roraima,PSD,253,Camara dos Deputados 1990,1990
Pará,PSD,NA,Camara dos Deputados 1990,1990
Amapá,PSD,137,Camara dos Deputados 1990,1990
Tocantins,PSD,NA,Camara dos Deputados 1990,1990
Maranhão,PSD,9756,Camara dos Deputados 1990,1990
Piauí,PSD,NA,Camara dos Deputados 1990,1990
Ceará,PSD,36806,Camara dos Deputados 1990,1990
R. G. do Norte,PSD,NA,Camara dos Deputados 1990,1990
Paraíba,PSD,619,Camara dos Deputados 1990,1990
Pernambuco,PSD,3860,Camara dos Deputados 1990,1990
Alagoas,PSD,NA,Camara dos Deputados 1990,1990
Sergipe,PSD,NA,Camara dos Deputados 1990,1990
Bahia,PSD,8710,Camara dos Deputados 1990,1990
Minas Gerais,PSD,NA,Camara dos Deputados 1990,1990
Espírito Santo,PSD,1658,Camara dos Deputados 1990,1990
Rio de Janeiro,PSD,10995,Camara dos Deputados 1990,1990
São Paulo,PSD,28947,Camara dos Deputados 1990,1990
Paraná,PSD,5072,Camara dos Deputados 1990,1990
Santa Catarina,PSD,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PSD,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PSD,NA,Camara dos Deputados 1990,1990
Mato Grosso,PSD,635,Camara dos Deputados 1990,1990
Goiás,PSD,105858,Camara dos Deputados 1990,1990
Distrito Federal,PSD,869,Camara dos Deputados 1990,1990
Rondônia,PCN,NA,Camara dos Deputados 1990,1990
Acre,PCN,NA,Camara dos Deputados 1990,1990
Amazonas,PCN,13,Camara dos Deputados 1990,1990
Roraima,PCN,NA,Camara dos Deputados 1990,1990
Pará,PCN,NA,Camara dos Deputados 1990,1990
Amapá,PCN,NA,Camara dos Deputados 1990,1990
Tocantins,PCN,NA,Camara dos Deputados 1990,1990
Maranhão,PCN,NA,Camara dos Deputados 1990,1990
Piauí,PCN,NA,Camara dos Deputados 1990,1990
Ceará,PCN,2613,Camara dos Deputados 1990,1990
R. G. do Norte,PCN,NA,Camara dos Deputados 1990,1990
Paraíba,PCN,NA,Camara dos Deputados 1990,1990
Pernambuco,PCN,2479,Camara dos Deputados 1990,1990
Alagoas,PCN,NA,Camara dos Deputados 1990,1990
Sergipe,PCN,543,Camara dos Deputados 1990,1990
Bahia,PCN,NA,Camara dos Deputados 1990,1990
Minas Gerais,PCN,NA,Camara dos Deputados 1990,1990
Espírito Santo,PCN,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PCN,15117,Camara dos Deputados 1990,1990
São Paulo,PCN,120173,Camara dos Deputados 1990,1990
Paraná,PCN,NA,Camara dos Deputados 1990,1990
Santa Catarina,PCN,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PCN,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PCN,NA,Camara dos Deputados 1990,1990
Mato Grosso,PCN,NA,Camara dos Deputados 1990,1990
Goiás,PCN,NA,Camara dos Deputados 1990,1990
Distrito Federal,PCN,515,Camara dos Deputados 1990,1990
Rondônia,PRP,1942,Camara dos Deputados 1990,1990
Acre,PRP,NA,Camara dos Deputados 1990,1990
Amazonas,PRP,1347,Camara dos Deputados 1990,1990
Roraima,PRP,NA,Camara dos Deputados 1990,1990
Pará,PRP,NA,Camara dos Deputados 1990,1990
Amapá,PRP,108,Camara dos Deputados 1990,1990
Tocantins,PRP,NA,Camara dos Deputados 1990,1990
Maranhão,PRP,319,Camara dos Deputados 1990,1990
Piauí,PRP,NA,Camara dos Deputados 1990,1990
Ceará,PRP,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PRP,NA,Camara dos Deputados 1990,1990
Paraíba,PRP,NA,Camara dos Deputados 1990,1990
Pernambuco,PRP,NA,Camara dos Deputados 1990,1990
Alagoas,PRP,1136,Camara dos Deputados 1990,1990
Sergipe,PRP,1724,Camara dos Deputados 1990,1990
Bahia,PRP,NA,Camara dos Deputados 1990,1990
Minas Gerais,PRP,4550,Camara dos Deputados 1990,1990
Espírito Santo,PRP,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PRP,12941,Camara dos Deputados 1990,1990
São Paulo,PRP,68614,Camara dos Deputados 1990,1990
Paraná,PRP,NA,Camara dos Deputados 1990,1990
Santa Catarina,PRP,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PRP,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PRP,NA,Camara dos Deputados 1990,1990
Mato Grosso,PRP,NA,Camara dos Deputados 1990,1990
Goiás,PRP,15,Camara dos Deputados 1990,1990
Distrito Federal,PRP,1373,Camara dos Deputados 1990,1990
Rondônia,PT do B,NA,Camara dos Deputados 1990,1990
Acre,PT do B,NA,Camara dos Deputados 1990,1990
Amazonas,PT do B,NA,Camara dos Deputados 1990,1990
Roraima,PT do B,NA,Camara dos Deputados 1990,1990
Pará,PT do B,NA,Camara dos Deputados 1990,1990
Amapá,PT do B,90,Camara dos Deputados 1990,1990
Tocantins,PT do B,NA,Camara dos Deputados 1990,1990
Maranhão,PT do B,NA,Camara dos Deputados 1990,1990
Piauí,PT do B,NA,Camara dos Deputados 1990,1990
Ceará,PT do B,1453,Camara dos Deputados 1990,1990
R. G. do Norte,PT do B,NA,Camara dos Deputados 1990,1990
Paraíba,PT do B,NA,Camara dos Deputados 1990,1990
Pernambuco,PT do B,1118,Camara dos Deputados 1990,1990
Alagoas,PT do B,NA,Camara dos Deputados 1990,1990
Sergipe,PT do B,NA,Camara dos Deputados 1990,1990
Bahia,PT do B,4310,Camara dos Deputados 1990,1990
Minas Gerais,PT do B,12074,Camara dos Deputados 1990,1990
Espírito Santo,PT do B,15,Camara dos Deputados 1990,1990
Rio de Janeiro,PT do B,34258,Camara dos Deputados 1990,1990
São Paulo,PT do B,17908,Camara dos Deputados 1990,1990
Paraná,PT do B,4494,Camara dos Deputados 1990,1990
Santa Catarina,PT do B,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PT do B,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PT do B,NA,Camara dos Deputados 1990,1990
Mato Grosso,PT do B,NA,Camara dos Deputados 1990,1990
Goiás,PT do B,333,Camara dos Deputados 1990,1990
Distrito Federal,PT do B,2305,Camara dos Deputados 1990,1990
Rondônia,PAS,NA,Camara dos Deputados 1990,1990
Acre,PAS,NA,Camara dos Deputados 1990,1990
Amazonas,PAS,NA,Camara dos Deputados 1990,1990
Roraima,PAS,NA,Camara dos Deputados 1990,1990
Pará,PAS,NA,Camara dos Deputados 1990,1990
Amapá,PAS,NA,Camara dos Deputados 1990,1990
Tocantins,PAS,NA,Camara dos Deputados 1990,1990
Maranhão,PAS,NA,Camara dos Deputados 1990,1990
Piauí,PAS,NA,Camara dos Deputados 1990,1990
Ceará,PAS,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PAS,NA,Camara dos Deputados 1990,1990
Paraíba,PAS,NA,Camara dos Deputados 1990,1990
Pernambuco,PAS,NA,Camara dos Deputados 1990,1990
Alagoas,PAS,NA,Camara dos Deputados 1990,1990
Sergipe,PAS,NA,Camara dos Deputados 1990,1990
Bahia,PAS,NA,Camara dos Deputados 1990,1990
Minas Gerais,PAS,9916,Camara dos Deputados 1990,1990
Espírito Santo,PAS,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PAS,7654,Camara dos Deputados 1990,1990
São Paulo,PAS,NA,Camara dos Deputados 1990,1990
Paraná,PAS,NA,Camara dos Deputados 1990,1990
Santa Catarina,PAS,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PAS,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PAS,NA,Camara dos Deputados 1990,1990
Mato Grosso,PAS,NA,Camara dos Deputados 1990,1990
Goiás,PAS,NA,Camara dos Deputados 1990,1990
Distrito Federal,PAS,25220,Camara dos Deputados 1990,1990
Rondônia,PSL,NA,Camara dos Deputados 1990,1990
Acre,PSL,NA,Camara dos Deputados 1990,1990
Amazonas,PSL,NA,Camara dos Deputados 1990,1990
Roraima,PSL,NA,Camara dos Deputados 1990,1990
Pará,PSL,NA,Camara dos Deputados 1990,1990
Amapá,PSL,NA,Camara dos Deputados 1990,1990
Tocantins,PSL,NA,Camara dos Deputados 1990,1990
Maranhão,PSL,NA,Camara dos Deputados 1990,1990
Piauí,PSL,NA,Camara dos Deputados 1990,1990
Ceará,PSL,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PSL,NA,Camara dos Deputados 1990,1990
Paraíba,PSL,NA,Camara dos Deputados 1990,1990
Pernambuco,PSL,1243,Camara dos Deputados 1990,1990
Alagoas,PSL,NA,Camara dos Deputados 1990,1990
Sergipe,PSL,NA,Camara dos Deputados 1990,1990
Bahia,PSL,5168,Camara dos Deputados 1990,1990
Minas Gerais,PSL,14299,Camara dos Deputados 1990,1990
Espírito Santo,PSL,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PSL,5191,Camara dos Deputados 1990,1990
São Paulo,PSL,NA,Camara dos Deputados 1990,1990
Paraná,PSL,NA,Camara dos Deputados 1990,1990
Santa Catarina,PSL,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PSL,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PSL,NA,Camara dos Deputados 1990,1990
Mato Grosso,PSL,NA,Camara dos Deputados 1990,1990
Goiás,PSL,870,Camara dos Deputados 1990,1990
Distrito Federal,PSL,311,Camara dos Deputados 1990,1990
Rondônia,PD,NA,Camara dos Deputados 1990,1990
Acre,PD,NA,Camara dos Deputados 1990,1990
Amazonas,PD,NA,Camara dos Deputados 1990,1990
Roraima,PD,NA,Camara dos Deputados 1990,1990
Pará,PD,NA,Camara dos Deputados 1990,1990
Amapá,PD,NA,Camara dos Deputados 1990,1990
Tocantins,PD,NA,Camara dos Deputados 1990,1990
Maranhão,PD,NA,Camara dos Deputados 1990,1990
Piauí,PD,NA,Camara dos Deputados 1990,1990
Ceará,PD,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PD,NA,Camara dos Deputados 1990,1990
Paraíba,PD,NA,Camara dos Deputados 1990,1990
Pernambuco,PD,NA,Camara dos Deputados 1990,1990
Alagoas,PD,NA,Camara dos Deputados 1990,1990
Sergipe,PD,NA,Camara dos Deputados 1990,1990
Bahia,PD,NA,Camara dos Deputados 1990,1990
Minas Gerais,PD,NA,Camara dos Deputados 1990,1990
Espírito Santo,PD,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PD,3515,Camara dos Deputados 1990,1990
São Paulo,PD,13587,Camara dos Deputados 1990,1990
Paraná,PD,NA,Camara dos Deputados 1990,1990
Santa Catarina,PD,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PD,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PD,NA,Camara dos Deputados 1990,1990
Mato Grosso,PD,NA,Camara dos Deputados 1990,1990
Goiás,PD,NA,Camara dos Deputados 1990,1990
Distrito Federal,PD,NA,Camara dos Deputados 1990,1990
Rondônia,PRONA,315,Camara dos Deputados 1990,1990
Acre,PRONA,312,Camara dos Deputados 1990,1990
Amazonas,PRONA,11,Camara dos Deputados 1990,1990
Roraima,PRONA,NA,Camara dos Deputados 1990,1990
Pará,PRONA,NA,Camara dos Deputados 1990,1990
Amapá,PRONA,979,Camara dos Deputados 1990,1990
Tocantins,PRONA,NA,Camara dos Deputados 1990,1990
Maranhão,PRONA,NA,Camara dos Deputados 1990,1990
Piauí,PRONA,NA,Camara dos Deputados 1990,1990
Ceará,PRONA,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PRONA,NA,Camara dos Deputados 1990,1990
Paraíba,PRONA,NA,Camara dos Deputados 1990,1990
Pernambuco,PRONA,NA,Camara dos Deputados 1990,1990
Alagoas,PRONA,NA,Camara dos Deputados 1990,1990
Sergipe,PRONA,NA,Camara dos Deputados 1990,1990
Bahia,PRONA,NA,Camara dos Deputados 1990,1990
Minas Gerais,PRONA,NA,Camara dos Deputados 1990,1990
Espírito Santo,PRONA,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PRONA,9808,Camara dos Deputados 1990,1990
São Paulo,PRONA,NA,Camara dos Deputados 1990,1990
Paraná,PRONA,NA,Camara dos Deputados 1990,1990
Santa Catarina,PRONA,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PRONA,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PRONA,1,Camara dos Deputados 1990,1990
Mato Grosso,PRONA,NA,Camara dos Deputados 1990,1990
Goiás,PRONA,NA,Camara dos Deputados 1990,1990
Distrito Federal,PRONA,1038,Camara dos Deputados 1990,1990
Rondônia,PLH,NA,Camara dos Deputados 1990,1990
Acre,PLH,NA,Camara dos Deputados 1990,1990
Amazonas,PLH,NA,Camara dos Deputados 1990,1990
Roraima,PLH,NA,Camara dos Deputados 1990,1990
Pará,PLH,NA,Camara dos Deputados 1990,1990
Amapá,PLH,NA,Camara dos Deputados 1990,1990
Tocantins,PLH,NA,Camara dos Deputados 1990,1990
Maranhão,PLH,NA,Camara dos Deputados 1990,1990
Piauí,PLH,NA,Camara dos Deputados 1990,1990
Ceará,PLH,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PLH,NA,Camara dos Deputados 1990,1990
Paraíba,PLH,NA,Camara dos Deputados 1990,1990
Pernambuco,PLH,NA,Camara dos Deputados 1990,1990
Alagoas,PLH,NA,Camara dos Deputados 1990,1990
Sergipe,PLH,NA,Camara dos Deputados 1990,1990
Bahia,PLH,NA,Camara dos Deputados 1990,1990
Minas Gerais,PLH,NA,Camara dos Deputados 1990,1990
Espírito Santo,PLH,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PLH,NA,Camara dos Deputados 1990,1990
São Paulo,PLH,8807,Camara dos Deputados 1990,1990
Paraná,PLH,NA,Camara dos Deputados 1990,1990
Santa Catarina,PLH,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PLH,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PLH,NA,Camara dos Deputados 1990,1990
Mato Grosso,PLH,NA,Camara dos Deputados 1990,1990
Goiás,PLH,NA,Camara dos Deputados 1990,1990
Distrito Federal,PLH,1269,Camara dos Deputados 1990,1990
Rondônia,PNT,NA,Camara dos Deputados 1990,1990
Acre,PNT,NA,Camara dos Deputados 1990,1990
Amazonas,PNT,NA,Camara dos Deputados 1990,1990
Roraima,PNT,NA,Camara dos Deputados 1990,1990
Pará,PNT,NA,Camara dos Deputados 1990,1990
Amapá,PNT,63,Camara dos Deputados 1990,1990
Tocantins,PNT,NA,Camara dos Deputados 1990,1990
Maranhão,PNT,NA,Camara dos Deputados 1990,1990
Piauí,PNT,NA,Camara dos Deputados 1990,1990
Ceará,PNT,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PNT,NA,Camara dos Deputados 1990,1990
Paraíba,PNT,NA,Camara dos Deputados 1990,1990
Pernambuco,PNT,NA,Camara dos Deputados 1990,1990
Alagoas,PNT,NA,Camara dos Deputados 1990,1990
Sergipe,PNT,NA,Camara dos Deputados 1990,1990
Bahia,PNT,NA,Camara dos Deputados 1990,1990
Minas Gerais,PNT,NA,Camara dos Deputados 1990,1990
Espírito Santo,PNT,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PNT,8332,Camara dos Deputados 1990,1990
São Paulo,PNT,NA,Camara dos Deputados 1990,1990
Paraná,PNT,NA,Camara dos Deputados 1990,1990
Santa Catarina,PNT,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PNT,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PNT,NA,Camara dos Deputados 1990,1990
Mato Grosso,PNT,NA,Camara dos Deputados 1990,1990
Goiás,PNT,NA,Camara dos Deputados 1990,1990
Distrito Federal,PNT,NA,Camara dos Deputados 1990,1990
Rondônia,PSU,NA,Camara dos Deputados 1990,1990
Acre,PSU,NA,Camara dos Deputados 1990,1990
Amazonas,PSU,NA,Camara dos Deputados 1990,1990
Roraima,PSU,NA,Camara dos Deputados 1990,1990
Pará,PSU,NA,Camara dos Deputados 1990,1990
Amapá,PSU,NA,Camara dos Deputados 1990,1990
Tocantins,PSU,NA,Camara dos Deputados 1990,1990
Maranhão,PSU,NA,Camara dos Deputados 1990,1990
Piauí,PSU,NA,Camara dos Deputados 1990,1990
Ceará,PSU,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PSU,NA,Camara dos Deputados 1990,1990
Paraíba,PSU,NA,Camara dos Deputados 1990,1990
Pernambuco,PSU,NA,Camara dos Deputados 1990,1990
Alagoas,PSU,NA,Camara dos Deputados 1990,1990
Sergipe,PSU,NA,Camara dos Deputados 1990,1990
Bahia,PSU,NA,Camara dos Deputados 1990,1990
Minas Gerais,PSU,NA,Camara dos Deputados 1990,1990
Espírito Santo,PSU,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PSU,3912,Camara dos Deputados 1990,1990
São Paulo,PSU,NA,Camara dos Deputados 1990,1990
Paraná,PSU,NA,Camara dos Deputados 1990,1990
Santa Catarina,PSU,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PSU,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PSU,NA,Camara dos Deputados 1990,1990
Mato Grosso,PSU,NA,Camara dos Deputados 1990,1990
Goiás,PSU,NA,Camara dos Deputados 1990,1990
Distrito Federal,PSU,NA,Camara dos Deputados 1990,1990
Rondônia,PAP,NA,Camara dos Deputados 1990,1990
Acre,PAP,NA,Camara dos Deputados 1990,1990
Amazonas,PAP,NA,Camara dos Deputados 1990,1990
Roraima,PAP,NA,Camara dos Deputados 1990,1990
Pará,PAP,NA,Camara dos Deputados 1990,1990
Amapá,PAP,NA,Camara dos Deputados 1990,1990
Tocantins,PAP,NA,Camara dos Deputados 1990,1990
Maranhão,PAP,NA,Camara dos Deputados 1990,1990
Piauí,PAP,NA,Camara dos Deputados 1990,1990
Ceará,PAP,NA,Camara dos Deputados 1990,1990
R. G. do Norte,PAP,NA,Camara dos Deputados 1990,1990
Paraíba,PAP,NA,Camara dos Deputados 1990,1990
Pernambuco,PAP,NA,Camara dos Deputados 1990,1990
Alagoas,PAP,NA,Camara dos Deputados 1990,1990
Sergipe,PAP,NA,Camara dos Deputados 1990,1990
Bahia,PAP,NA,Camara dos Deputados 1990,1990
Minas Gerais,PAP,NA,Camara dos Deputados 1990,1990
Espírito Santo,PAP,NA,Camara dos Deputados 1990,1990
Rio de Janeiro,PAP,3669,Camara dos Deputados 1990,1990
São Paulo,PAP,NA,Camara dos Deputados 1990,1990
Paraná,PAP,NA,Camara dos Deputados 1990,1990
Santa Catarina,PAP,NA,Camara dos Deputados 1990,1990
R. G. do Sul,PAP,NA,Camara dos Deputados 1990,1990
M. G. do Sul,PAP,NA,Camara dos Deputados 1990,1990
Mato Grosso,PAP,NA,Camara dos Deputados 1990,1990
Goiás,PAP,NA,Camara dos Deputados 1990,1990
Distrito Federal,PAP,NA,Camara dos Deputados 1990,1990
Rondônia,PS,NA,Camara dos Deputados 1990,1990
