estado,partido,votos,eleicao,ano
São Paulo,PTB,1275960,Camara dos Deputados 1982,1982
Paraná,PTB,28522,Camara dos Deputados 1982,1982
Santa Catarina,PTB,2174,Camara dos Deputados 1982,1982
R. G. do Sul,PTB,NA,Camara dos Deputados 1982,1982
M. G. do Sul,PTB,NA,Camara dos Deputados 1982,1982
Mato Grosso,PTB,NA,Camara dos Deputados 1982,1982
Goiás,PTB,NA,Camara dos Deputados 1982,1982
Rondônia,PT,5673,Camara dos Deputados 1982,1982
Acre,PT,4524,Camara dos Deputados 1982,1982
Amazonas,PT,4948,Camara dos Deputados 1982,1982
Roraima,PT,NA,Camara dos Deputados 1982,1982
Pará,PT,12547,Camara dos Deputados 1982,1982
Amapá,PT,1665,Camara dos Deputados 1982,1982
Maranhão,PT,8497,Camara dos Deputados 1982,1982
Piauí,PT,5348,Camara dos Deputados 1982,1982
Ceará,PT,8984,Camara dos Deputados 1982,1982
R. G. do Norte,PT,2882,Camara dos Deputados 1982,1982
Paraíba,PT,3578,Camara dos Deputados 1982,1982
Pernambuco,PT,3789,Camara dos Deputados 1982,1982
Alagoas,PT,NA,Camara dos Deputados 1982,1982
Sergipe,PT,1283,Camara dos Deputados 1982,1982
Bahia,PT,23719,Camara dos Deputados 1982,1982
Minas Gerais,PT,104694,Camara dos Deputados 1982,1982
Espírito Santo,PT,9999,Camara dos Deputados 1982,1982
Rio de Janeiro,PT,140366,Camara dos Deputados 1982,1982
São Paulo,PT,1040595,Camara dos Deputados 1982,1982
Paraná,PT,11483,Camara dos Deputados 1982,1982
Santa Catarina,PT,6657,Camara dos Deputados 1982,1982
R. G. do Sul,PT,43378,Camara dos Deputados 1982,1982
M. G. do Sul,PT,4194,Camara dos Deputados 1982,1982
Mato Grosso,PT,816,Camara dos Deputados 1982,1982
Goiás,PT,9100,Camara dos Deputados 1982,1982
Rondônia,PMDB,146063,Camara dos Deputados 1986,1986
Acre,PMDB,57523,Camara dos Deputados 1986,1986
Amazonas,PMDB,149594,Camara dos Deputados 1986,1986
Roraima,PMDB,6013,Camara dos Deputados 1986,1986
Pará,PMDB,581743,Camara dos Deputados 1986,1986
Amapá,PMDB,23388,Camara dos Deputados 1986,1986
Maranhão,PMDB,304702,Camara dos Deputados 1986,1986
Piauí,PMDB,213733,Camara dos Deputados 1986,1986
Ceará,PMDB,926921,Camara dos Deputados 1986,1986
R. G. do Norte,PMDB,340069,Camara dos Deputados 1986,1986
Paraíba,PMDB,457174,Camara dos Deputados 1986,1986
Pernambuco,PMDB,879943,Camara dos Deputados 1986,1986
Alagoas,PMDB,236604,Camara dos Deputados 1986,1986
Sergipe,PMDB,164267,Camara dos Deputados 1986,1986
Bahia,PMDB,1505789,Camara dos Deputados 1986,1986
Minas Gerais,PMDB,3145123,Camara dos Deputados 1986,1986
