estado,ano,turno,situacao,quantidade,proporcao
Amazonas,2010,1,ABSTENÇÃO,406174,0.20027098961502315
Amazonas,2010,1,DEMAIS,1621948,0.7997290103849768
Amazonas,2010,2,ABSTENÇÃO,543726,0.2680778744516795
Amazonas,2010,2,DEMAIS,1484513,0.7319221255483205
Amazonas,2014,1,ABSTENÇÃO,433813,0.19491694486504946
Amazonas,2014,1,DEMAIS,1791817,0.8050830551349506
Amazonas,2014,2,ABSTENÇÃO,503405,0.22617919558465213
Amazonas,2014,2,DEMAIS,1722286,0.7738208044153478
Bahia,1989,1,ABSTENÇÃO,1182664,0.20066031418114544
Bahia,1989,1,DEMAIS,4711197,0.7993396858188546
Bahia,1989,2,ABSTENÇÃO,1182664,0.20066031418114544
Bahia,1989,2,DEMAIS,4711197,0.7993396858188546
Bahia,1994,1,ABSTENÇÃO,1875244,0.26668718350127935
Bahia,1994,1,DEMAIS,5156380,0.7333128164987206
Bahia,1998,1,ABSTENÇÃO,2525806,0.3184232727551452
Bahia,1998,1,DEMAIS,5406422,0.6815767272448547
Bahia,2002,1,ABSTENÇÃO,2168773,0.2531222554398095
Bahia,2002,1,DEMAIS,6399312,0.7468777445601905
Bahia,2002,2,ABSTENÇÃO,2526746,0.2948842763381938
Bahia,2002,2,DEMAIS,6041856,0.7051157236618062
Bahia,2006,1,ABSTENÇÃO,1884249,0.10342386555883826
Bahia,2006,1,DEMAIS,16334457,0.8965761344411617
Bahia,2006,2,ABSTENÇÃO,2121792,0.11646227783685625
Bahia,2006,2,DEMAIS,16096914,0.8835377221631437
Bahia,2010,1,ABSTENÇÃO,2057633,0.2155860922378517
Bahia,2010,1,DEMAIS,7486735,0.7844139077621484
Bahia,2010,2,ABSTENÇÃO,2369486,0.24825172444031976
Bahia,2010,2,DEMAIS,7175205,0.7517482755596803
Bahia,2014,1,ABSTENÇÃO,2360558,0.23189582086942342
Bahia,2014,1,DEMAIS,7818832,0.7681041791305766
Bahia,2014,2,ABSTENÇÃO,2525443,0.24808758028154818
Bahia,2014,2,DEMAIS,7654200,0.7519124197184518
C. OESTE,1994,1,ABSTENÇÃO,1203442,0.19649829208874608
C. OESTE,1994,1,DEMAIS,4920998,0.803501707911254
C. OESTE,1998,1,ABSTENÇÃO,1503365,0.21506706159967898
C. OESTE,1998,1,DEMAIS,5486850,0.784932938400321
Ceará,1989,1,ABSTENÇÃO,540435,0.1612465785059461
Ceará,1989,1,DEMAIS,2811171,0.8387534214940539
Ceará,1989,2,ABSTENÇÃO,540435,0.1612465785059461
Ceará,1989,2,DEMAIS,2811171,0.8387534214940539
Ceará,1994,1,ABSTENÇÃO,881748,0.22007755832786102
Ceará,1994,1,DEMAIS,3124785,0.779922441672139
Ceará,1998,1,ABSTENÇÃO,1001071,0.23270276364329498
Ceará,1998,1,DEMAIS,3300859,0.767297236356705
Ceará,2002,1,ABSTENÇÃO,945124,0.19668533995774212
Ceará,2002,1,DEMAIS,3860135,0.8033146600422578
Ceará,2002,2,ABSTENÇÃO,1106026,0.23016990343288468
Ceará,2002,2,DEMAIS,3699233,0.7698300965671153
Ceará,2006,1,ABSTENÇÃO,932013,0.08691587425425448
Ceará,2006,1,DEMAIS,9791149,0.9130841257457455
Ceará,2006,2,ABSTENÇÃO,1076504,0.10039053779099859
Ceará,2006,2,DEMAIS,9646658,0.8996094622090014
Ceará,2010,1,ABSTENÇÃO,1178631,0.20051340015576552
Ceará,2010,1,DEMAIS,4699435,0.7994865998442345
Ceará,2010,2,ABSTENÇÃO,1358604,0.23112616940719188
Ceará,2010,2,DEMAIS,4519588,0.7688738305928081
Ceará,2014,1,ABSTENÇÃO,1261344,0.20120630240445347
Ceará,2014,1,DEMAIS,5007565,0.7987936975955465
Ceará,2014,2,ABSTENÇÃO,1363558,0.217506771773719
Ceará,2014,2,DEMAIS,4905479,0.782493228226281
Distrito Federal,2006,1,ABSTENÇÃO,229750,0.069408779190961
Distrito Federal,2006,1,DEMAIS,3080350,0.930591220809039
Distrito Federal,2006,2,ABSTENÇÃO,259284,0.07833116824265128
Distrito Federal,2006,2,DEMAIS,3050816,0.9216688317573487
Distrito Federal,2010,1,ABSTENÇÃO,283177,0.15440891805738677
Distrito Federal,2010,1,DEMAIS,1550765,0.8455910819426132
Distrito Federal,2010,2,ABSTENÇÃO,354146,0.193086114162807
Distrito Federal,2010,2,DEMAIS,1479989,0.806913885837193
Distrito Federal,2014,1,ABSTENÇÃO,221189,0.11667951154641275
Distrito Federal,2014,1,DEMAIS,1674508,0.8833204884535872
Distrito Federal,2014,2,ABSTENÇÃO,239633,0.1263891130457164
Distrito Federal,2014,2,DEMAIS,1656361,0.8736108869542836
Distrito Federal,1989,1,ABSTENÇÃO,74579,0.0869898405514796
Distrito Federal,1989,1,DEMAIS,782751,0.9130101594485204
Distrito Federal,1989,2,ABSTENÇÃO,74579,0.0869898405514796
Distrito Federal,1989,2,DEMAIS,782751,0.9130101594485204
Distrito Federal,1994,1,ABSTENÇÃO,147069,0.13845084994356302
Distrito Federal,1994,1,DEMAIS,915178,0.861549150056437
Distrito Federal,1998,1,ABSTENÇÃO,196417,0.154912159630893
Distrito Federal,1998,1,DEMAIS,1071508,0.845087840369107
Distrito Federal,2002,1,ABSTENÇÃO,234334,0.15448033446765086
Distrito Federal,2002,1,DEMAIS,1282584,0.8455196655323491
Distrito Federal,2002,2,ABSTENÇÃO,207722,0.1367998804033358
Distrito Federal,2002,2,DEMAIS,1310715,0.8632001195966642
Espirito Santo,2006,1,ABSTENÇÃO,393284,0.08417414590693252
Espirito Santo,2006,1,DEMAIS,4278982,0.9158258540930675
Espirito Santo,2006,2,ABSTENÇÃO,451699,0.09667664469445875
Espirito Santo,2006,2,DEMAIS,4220567,0.9033233553055412
Espirito Santo,2010,1,ABSTENÇÃO,438946,0.17404740936823326
Espirito Santo,2010,1,DEMAIS,2083045,0.8259525906317667
Espirito Santo,2010,2,ABSTENÇÃO,527745,0.20925056858011984
